drug_a,drug_b,severity,description
Aspirin,Warfarin,High,Co-administration increases risk of major bleeding due to antiplatelet and anticoagulant synergy.
Ibuprofen,Warfarin,High,Increased risk of gastrointestinal ulceration and severe bleeding. NSAID antiplatelet effects compound anticoagulant risks.
Clopidogrel,Warfarin,High,Dual antiplatelet and anticoagulant therapy significantly elevates risk of life-threatening bleeding.
Alcohol,Metformin,High,Concomitant use increases risk of severe lactic acidosis and hypoglycemia. Metformin should be avoided in chronic heavy drinkers.
Nitroglycerin,Sildenafil,High,"Severe, life-threatening hypotension. Sildenafil potentiates the vasodilatory effects of organic nitrates."
Atorvastatin,Clarithromycin,High,"Potent CYP3A4 inhibition by Clarithromycin elevates Atorvastatin levels, increasing risk of rhabdomyolysis and acute kidney injury."
Amlodipine,Simvastatin,Moderate,Amlodipine increases Simvastatin exposure. Limit Simvastatin dose to 20 mg daily to avoid myopathy risks.
Grapefruit Juice,Simvastatin,Moderate,"Grapefruit juice inhibits CYP3A4, increasing Simvastatin levels and risks of muscle toxicity."
Alcohol,Paracetamol,Moderate,"Chronic alcohol use accelerates acetaminophen conversion to toxic metabolites, raising hepatotoxicity risks even at therapeutic doses."
Ibuprofen,Prednisone,Moderate,Increased risk of gastrointestinal ulceration and mucosal bleeding. Avoid concurrent use if possible.
Sertraline,Tramadol,High,"Increased risk of serotonin syndrome, characterized by mental status changes, neuromuscular hyperactivity, and autonomic instability."
Fluoxetine,Tramadol,High,Increased risk of serotonin syndrome due to additive serotonergic activity and CYP2D6 inhibition by Fluoxetine.
Levothyroxine,Others,Low,Calcium supplements or antacids may reduce Levothyroxine absorption. Separate doses by at least 4 hours.
Clopidogrel,Omeprazole,Moderate,Omeprazole reduces the therapeutic antiplatelet efficacy of Clopidogrel by inhibiting CYP2C19 bioactivation.
Alcohol,Cetirizine,Low,"Additive central nervous system depression. May cause severe drowsiness, fatigue, and psychomotor impairment."
Insulin,Metoprolol,Moderate,"Metoprolol can mask symptoms of hypoglycemia, such as tremors and tachycardia, delaying patient response to low blood sugar."
Lisinopril,Spironolactone,Moderate,ACE inhibitor combined with potassium-sparing diuretic increases risk of hyperkalemia. Monitor serum potassium.
Clopidogrel,Ibuprofen,High,Concomitant use increases the risk of severe gastrointestinal bleeding and systemic hemorrhage due to additive antiplatelet and anticoagulant effects.
Apixaban,Ibuprofen,High,Concomitant use increases the risk of severe gastrointestinal bleeding and systemic hemorrhage due to additive antiplatelet and anticoagulant effects.
Ibuprofen,Rivaroxaban,High,Concomitant use increases the risk of severe gastrointestinal bleeding and systemic hemorrhage due to additive antiplatelet and anticoagulant effects.
Heparin,Ibuprofen,High,Concomitant use increases the risk of severe gastrointestinal bleeding and systemic hemorrhage due to additive antiplatelet and anticoagulant effects.
Naproxen,Warfarin,High,Concomitant use increases the risk of severe gastrointestinal bleeding and systemic hemorrhage due to additive antiplatelet and anticoagulant effects.
Clopidogrel,Naproxen,High,Concomitant use increases the risk of severe gastrointestinal bleeding and systemic hemorrhage due to additive antiplatelet and anticoagulant effects.
Apixaban,Naproxen,High,Concomitant use increases the risk of severe gastrointestinal bleeding and systemic hemorrhage due to additive antiplatelet and anticoagulant effects.
Naproxen,Rivaroxaban,High,Concomitant use increases the risk of severe gastrointestinal bleeding and systemic hemorrhage due to additive antiplatelet and anticoagulant effects.
Heparin,Naproxen,High,Concomitant use increases the risk of severe gastrointestinal bleeding and systemic hemorrhage due to additive antiplatelet and anticoagulant effects.
Aspirin,Clopidogrel,High,Concomitant use increases the risk of severe gastrointestinal bleeding and systemic hemorrhage due to additive antiplatelet and anticoagulant effects.
Apixaban,Aspirin,High,Concomitant use increases the risk of severe gastrointestinal bleeding and systemic hemorrhage due to additive antiplatelet and anticoagulant effects.
